L T,R T,L T-1,R T-1,L T-2,R T-2,L T-3,R T-3,L T-4,R T-4,L T-5,R T-5,L T-6,R T-6,L T-7,R T-7,L T-8,R T-8,L T-9,R T-9,class
0.910641693,0.39223227,0.894427191,0.419918279,1,0.418681404,0.857400219,0.39223227,0.857400219,0.39223227,0.894427191,0.372104204,0.894427191,0.421997858,0.936200079,0.39223227,1,0.38606293,0.920869155,0.367466797,real
0.894427191,0.419918279,1,0.418681404,0.857400219,0.39223227,0.857400219,0.39223227,0.894427191,0.372104204,0.894427191,0.421997858,0.936200079,0.39223227,1,0.38606293,0.920869155,0.367466797,0.925291513,0.367466797,real
1,0.418681404,0.857400219,0.39223227,0.857400219,0.39223227,0.894427191,0.372104204,0.894427191,0.421997858,0.936200079,0.39223227,1,0.38606293,0.920869155,0.367466797,0.925291513,0.367466797,0.941534113,0.414980754,real
0.857400219,0.39223227,0.857400219,0.39223227,0.894427191,0.372104204,0.894427191,0.421997858,0.936200079,0.39223227,1,0.38606293,0.920869155,0.367466797,0.925291513,0.367466797,0.941534113,0.414980754,0.956996125,0.462818737,real
0.857400219,0.39223227,0.894427191,0.372104204,0.894427191,0.421997858,0.936200079,0.39223227,1,0.38606293,0.920869155,0.367466797,0.925291513,0.367466797,0.941534113,0.414980754,0.956996125,0.462818737,0.956996125,0.462818737,real
0.894427191,0.372104204,0.894427191,0.421997858,0.936200079,0.39223227,1,0.38606293,0.920869155,0.367466797,0.925291513,0.367466797,0.941534113,0.414980754,0.956996125,0.462818737,0.956996125,0.462818737,0.985471383,0.462818737,real
0.894427191,0.421997858,0.936200079,0.39223227,1,0.38606293,0.920869155,0.367466797,0.925291513,0.367466797,0.941534113,0.414980754,0.956996125,0.462818737,0.956996125,0.462818737,0.985471383,0.462818737,0.89690827,0.462818737,real
0.936200079,0.39223227,1,0.38606293,0.920869155,0.367466797,0.925291513,0.367466797,0.941534113,0.414980754,0.956996125,0.462818737,0.956996125,0.462818737,0.985471383,0.462818737,0.89690827,0.462818737,0.99107125,0.48507125,real
1,0.38606293,0.920869155,0.367466797,0.925291513,0.367466797,0.941534113,0.414980754,0.956996125,0.462818737,0.956996125,0.462818737,0.985471383,0.462818737,0.89690827,0.462818737,0.99107125,0.48507125,0.906764701,0.44746088,real
0.920869155,0.367466797,0.925291513,0.367466797,0.941534113,0.414980754,0.956996125,0.462818737,0.956996125,0.462818737,0.985471383,0.462818737,0.89690827,0.462818737,0.99107125,0.48507125,0.906764701,0.44746088,0.99107125,0.446228542,real
0.925291513,0.367466797,0.941534113,0.414980754,0.956996125,0.462818737,0.956996125,0.462818737,0.985471383,0.462818737,0.89690827,0.462818737,0.99107125,0.48507125,0.906764701,0.44746088,0.99107125,0.446228542,0.99107125,0.446228542,real
0.941534113,0.414980754,0.956996125,0.462818737,0.956996125,0.462818737,0.985471383,0.462818737,0.89690827,0.462818737,0.99107125,0.48507125,0.906764701,0.44746088,0.99107125,0.446228542,0.99107125,0.446228542,0.909872987,0.470360434,real
0.956996125,0.462818737,0.956996125,0.462818737,0.985471383,0.462818737,0.89690827,0.462818737,0.99107125,0.48507125,0.906764701,0.44746088,0.99107125,0.446228542,0.99107125,0.446228542,0.909872987,0.470360434,0.887953568,0.461455498,real
